Category Id,Total Sales,Supply Recommendation
2,79.98999786,Decrease Supply
3,659.89002608,Maintain Supply
4,999.9899902,Maintain Supply
6,359.91999810000004,Decrease Supply
9,20597.9401324,Increase Supply
11,524.8499907,Maintain Supply
12,559.8900146,Maintain Supply
13,742.79000082,Maintain Supply
16,499.9500122,Decrease Supply
17,9898.35022708,Increase Supply
18,4679.640198,Increase Supply
24,14050.0,Increase Supply
26,464.98000336,Decrease Supply
29,5668.62007066,Increase Supply
36,39.97999954,Decrease Supply
37,1183.68999082,Increase Supply
38,449.9500122,Decrease Supply
40,799.6799887,Maintain Supply
41,453.75,Decrease Supply
43,599.960022,Maintain Supply
44,299.8999938,Decrease Supply
62,5876.5201105,Increase Supply
64,6000.0,Increase Supply
65,3034.5600587999998,Increase Supply
66,922.960022,Maintain Supply
70,210.8500061,Decrease Supply
73,47196.0,Increase Supply
76,1079.1000365,Increase Supply
